unique_id,ds,cutoff,xLSTM-lo-80.0,xLSTM-median,xLSTM-hi-80.0,y
SPY,2007-03-28,2007-03-20,96.61959,98.44463,100.484634,99.83415222167969
SPY,2007-03-29,2007-03-20,95.14996,98.83897,101.886696,99.93972778320312
SPY,2007-03-30,2007-03-20,98.58297,98.462234,99.395065,99.96088409423828
SPY,2007-04-02,2007-03-20,94.08554,96.86647,99.67998,100.073486328125
SPY,2007-04-03,2007-03-20,96.97695,98.1726,99.70807,101.15054321289062
SPY,2007-04-04,2007-04-03,99.23533,101.14003,102.755554,101.2631607055664
SPY,2007-04-05,2007-04-03,96.91465,99.12569,100.95238,101.53771209716797
SPY,2007-04-09,2007-04-03,92.114075,96.54311,100.988045,101.67848205566406
SPY,2007-04-10,2007-04-03,92.830925,96.61073,100.464386,101.79815673828125
SPY,2007-04-11,2007-04-03,97.07446,99.00246,100.62713,101.38282012939453
SPY,2007-04-12,2007-04-03,98.44662,101.14666,103.13382,101.83333587646484
SPY,2007-04-13,2007-04-03,95.153915,99.55946,103.83284,102.29796600341797
SPY,2007-04-16,2007-04-03,99.04041,100.55799,101.80786,103.2694091796875
SPY,2007-04-17,2007-04-03,93.22476,97.42898,101.393326,103.54396057128906
SPY,2007-04-18,2007-04-03,95.90987,98.569824,100.982185,103.6706771850586
SPY,2007-04-19,2007-04-18,101.883995,103.1169,104.500946,103.64253234863281
SPY,2007-04-20,2007-04-18,100.85177,103.3791,106.04725,104.6209716796875
SPY,2007-04-23,2007-04-18,99.36078,102.48987,105.483376,104.22676849365234
SPY,2007-04-24,2007-04-18,100.87178,102.881325,105.164474,104.2690658569336
SPY,2007-04-25,2007-04-18,101.20338,102.64151,104.38553,105.2264175415039
SPY,2007-04-26,2007-04-18,100.68853,103.08679,105.46356,105.3460922241211
SPY,2007-04-27,2007-04-18,101.206085,104.76326,107.812386,105.26158905029297
SPY,2007-04-30,2007-04-18,102.85907,103.656525,105.19444,104.38868713378906
SPY,2007-05-01,2007-04-18,101.26504,103.048965,105.60788,104.65618133544922
SPY,2007-05-02,2007-04-18,102.11437,104.21053,106.66506,105.26864624023438
SPY,2007-05-03,2007-05-02,104.00588,105.91982,108.43344,105.83885955810547
SPY,2007-05-04,2007-05-02,102.971886,105.88092,108.64035,106.24007415771484
SPY,2007-05-07,2007-05-02,99.78207,104.34282,109.235725,106.26123046875
SPY,2007-05-08,2007-05-02,101.593025,104.88618,108.56801,106.12042236328125
SPY,2007-05-09,2007-05-02,101.48476,105.12423,108.68631,106.40904998779297
SPY,2007-05-10,2007-05-02,101.02005,105.27426,109.74753,105.29682922363281
SPY,2007-05-11,2007-05-02,101.44391,107.43079,112.33334,106.19786834716797
SPY,2007-05-14,2007-05-02,103.54885,105.33989,107.918304,105.96553802490234
SPY,2007-05-15,2007-05-02,102.72881,105.51302,109.17294,105.99370574951172
SPY,2007-05-16,2007-05-02,103.3324,106.42372,109.559044,106.71878051757812
SPY,2007-05-17,2007-05-16,106.16954,107.749725,109.29225,106.50759887695312
SPY,2007-05-18,2007-05-16,104.67421,106.96189,109.41067,107.436767578125
SPY,2007-05-21,2007-05-16,104.06197,106.39513,109.13619,107.38048553466797
SPY,2007-05-22,2007-05-16,105.177475,106.72504,108.930756,107.2960205078125
SPY,2007-05-23,2007-05-16,105.31048,106.374016,107.91531,107.31005096435547
SPY,2007-05-24,2007-05-16,104.4665,106.90594,109.61691,106.33861541748047
SPY,2007-05-25,2007-05-16,105.062775,108.826004,112.41304,106.78217315673828
SPY,2007-05-29,2007-05-16,106.950935,107.27041,108.82637,107.16930389404297
SPY,2007-05-30,2007-05-16,105.44289,106.542496,108.781685,108.04220581054688
SPY,2007-05-31,2007-05-16,105.73588,107.46617,109.75411,107.92950439453125
SPY,2007-06-01,2007-05-31,106.661705,107.68009,108.63083,108.4645767211914
SPY,2007-06-04,2007-05-31,105.91258,107.29326,108.73153,108.47863006591797
SPY,2007-06-05,2007-05-31,105.85636,107.61558,109.810005,108.04924011230469
SPY,2007-06-06,2007-05-31,106.51998,107.65385,109.31174,106.88770294189453
SPY,2007-06-07,2007-05-31,106.34544,107.68795,109.195694,104.95887756347656
SPY,2007-06-08,2007-05-31,106.370575,107.651085,109.46669,106.3245620727539
SPY,2007-06-11,2007-05-31,105.640205,107.97259,110.340355,106.50759887695312
SPY,2007-06-12,2007-05-31,107.66736,107.80832,108.8195,105.3460922241211
SPY,2007-06-13,2007-05-31,106.39216,107.89955,109.735245,106.92289733886719
SPY,2007-06-14,2007-05-31,106.770004,107.84494,109.08031,107.60570526123047
SPY,2007-06-15,2007-06-14,106.47187,107.45007,108.07211,108.21797943115234
SPY,2007-06-18,2007-06-14,105.61369,107.355934,108.70418,108.09070587158203
SPY,2007-06-19,2007-06-14,105.347176,106.84569,108.374886,108.35940551757812
SPY,2007-06-20,2007-06-14,106.05338,107.06906,108.1303,106.85352325439453
SPY,2007-06-21,2007-06-14,105.6651,106.38758,107.11779,107.44734191894531
SPY,2007-06-22,2007-06-14,105.59102,106.555916,107.53599,106.43639373779297
SPY,2007-06-25,2007-06-14,106.85824,107.88262,108.72881,105.92737579345703
SPY,2007-06-26,2007-06-14,106.67514,107.12683,107.38478,104.83860778808594
SPY,2007-06-27,2007-06-14,106.12006,107.5616,108.98874,106.33036804199219
SPY,2007-06-28,2007-06-14,106.6753,107.84595,108.61815,106.31620025634766
SPY,2007-06-29,2007-06-28,105.31275,106.69579,107.865814,106.35150909423828
SPY,2007-07-02,2007-06-28,103.24286,105.477295,107.949936,107.31304931640625
SPY,2007-07-03,2007-06-28,104.08118,105.824196,107.88921,107.70187377929688
SPY,2007-07-05,2007-06-28,103.942276,105.7285,107.76678,107.58878326416016
SPY,2007-07-06,2007-06-28,103.82768,105.39529,107.33369,108.15435791015625
SPY,2007-07-09,2007-06-28,103.73258,105.84867,108.23569,108.2392349243164
SPY,2007-07-10,2007-06-28,103.66262,106.30257,108.87636,106.6979751586914
SPY,2007-07-11,2007-06-28,104.22119,105.81926,107.54666,107.45443725585938
SPY,2007-07-12,2007-06-28,104.23396,105.91755,108.03978,109.15121459960938
SPY,2007-07-13,2007-06-28,104.00261,105.777985,107.76001,109.4764404296875
SPY,2007-07-16,2007-07-13,105.58944,107.24096,108.69844,109.46226501464844
SPY,2007-07-17,2007-07-13,106.919586,107.9356,108.7601,109.40576934814453
SPY,2007-07-18,2007-07-13,104.68822,106.71721,108.49465,109.207763671875
SPY,2007-07-19,2007-07-13,103.682396,106.00035,108.23218,109.63197326660156
SPY,2007-07-20,2007-07-13,106.23141,107.76599,108.87197,108.52204132080078
SPY,2007-07-23,2007-07-13,106.230675,108.23714,109.95848,108.8542709350586
SPY,2007-07-24,2007-07-13,105.98115,107.53859,108.89217,106.9666519165039
SPY,2007-07-25,2007-07-13,105.489044,107.63791,109.522194,107.18579864501953
SPY,2007-07-26,2007-07-13,103.440765,105.67616,108.186516,104.64775848388672
SPY,2007-07-27,2007-07-13,106.17997,108.035866,109.40233,102.59043884277344
SPY,2007-07-30,2007-07-27,105.92108,108.25324,110.27478,104.19525909423828
SPY,2007-07-31,2007-07-27,103.01728,105.156425,107.92598,103.02168273925781
SPY,2007-08-01,2007-07-27,103.62858,105.666855,108.13603,103.5236587524414
SPY,2007-08-02,2007-07-27,104.42333,106.658775,108.85412,104.35082244873047
SPY,2007-08-03,2007-07-27,104.55155,106.44959,108.47507,101.66423797607422
SPY,2007-08-06,2007-07-27,103.33669,106.13789,109.06819,103.36808776855469
SPY,2007-08-07,2007-07-27,104.58086,108.40947,111.99887,104.47098541259766
SPY,2007-08-08,2007-07-27,102.93406,105.41615,108.57527,105.92737579345703
SPY,2007-08-09,2007-07-27,103.38842,105.62352,108.57699,102.78836059570312
SPY,2007-08-10,2007-07-27,102.992165,105.41049,108.50305,102.30767059326172
SPY,2007-08-13,2007-08-10,98.6895,103.317406,108.125786,102.67525482177734
SPY,2007-08-14,2007-08-10,95.89554,102.17886,109.63782,101.10572814941406
SPY,2007-08-15,2007-08-10,95.711006,102.35331,111.06093,99.71300506591797
SPY,2007-08-16,2007-08-10,95.54579,102.99106,111.44225,100.46238708496094
SPY,2007-08-17,2007-08-10,96.72067,101.42376,107.9167,102.30767059326172
SPY,2007-08-20,2007-08-10,95.537796,102.92719,111.47338,102.25809478759766
SPY,2007-08-21,2007-08-10,96.33851,103.74594,110.92819,102.46312713623047
SPY,2007-08-22,2007-08-10,93.65596,99.259766,107.09704,103.67914581298828
SPY,2007-08-23,2007-08-10,93.891235,100.42966,109.20702,103.58724212646484
SPY,2007-08-24,2007-08-10,96.496346,100.42576,106.471176,104.86688995361328
SPY,2007-08-27,2007-08-24,100.47891,103.521126,105.94459,103.8912353515625
SPY,2007-08-28,2007-08-24,99.05341,103.014534,106.661446,101.60771942138672
SPY,2007-08-29,2007-08-24,95.57167,101.07994,106.615585,103.60138702392578
SPY,2007-08-30,2007-08-24,97.395836,101.31806,105.29327,103.32560729980469
SPY,2007-08-31,2007-08-24,97.613914,101.36761,105.12806,104.34373474121094
SPY,2007-09-04,2007-08-24,97.50383,102.52763,107.24123,105.39710998535156
SPY,2007-09-05,2007-08-24,100.44709,104.52602,107.4949,104.48513793945312
SPY,2007-09-06,2007-08-24,96.93204,101.39316,105.84443,104.72545623779297
SPY,2007-09-07,2007-08-24,95.17181,100.21146,105.80613,103.26912689208984
SPY,2007-09-10,2007-08-24,97.029335,101.49076,105.50878,103.07115173339844
SPY,2007-09-11,2007-09-10,102.4946,104.98538,107.11261,104.2730484008789
SPY,2007-09-12,2007-09-10,101.82082,103.25993,104.603195,104.54167175292969
SPY,2007-09-13,2007-09-10,98.605316,102.0836,105.52655,105.27691650390625
SPY,2007-09-14,2007-09-10,101.5861,103.539444,105.38649,105.26985931396484
SPY,2007-09-17,2007-09-10,100.344154,102.91171,105.41541,104.7042465209961
SPY,2007-09-18,2007-09-10,100.32899,102.92149,105.45597,107.7867660522461
SPY,2007-09-19,2007-09-10,98.7151,101.84359,105.30599,108.4229965209961
